府県名,番号
宗谷総合振興局,11
上川総合振興局,12
留萌振興局,13
石狩振興局,14
空知総合振興局,15
後志総合振興局,16
オホーツク総合振興局,17
根室振興局,18
釧路総合振興局,19
十勝総合振興局,20
胆振総合振興局,21
日高振興局,22
渡島総合振興局,23
檜山振興局,24
青森県,31
秋田県,32
岩手県,33
宮城県,34
山形県,35
福島県,36
宮崎県,87
鹿児島県,88
沖縄県,91
島尻郡のうち、南大東村 及び北大東村,92
宮古島市及び宮古郡,93
石垣市及び八重山郡,94
茨城県,40
栃木県,41
群馬県,42
埼玉県,43
東京都,44
千葉県,45
神奈川県,46
長野県,48
山梨県,49
静岡県,50
愛知県,51
岐阜県,52
三重県,53
新潟県,54
富山県,55
石川県,56
福井県,57
長崎県,84
佐賀県,85
熊本県,86
滋賀県,60
京都府,61
大阪府,62
兵庫県,63
奈良県,64
和歌山県,65
岡山県,66
広島県,67
島根県,68
鳥取県,69
徳島県,71
香川県,72
愛媛県,73
高知県,74
山口県,81
福岡県,82
大分県,83
